ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
5596,6,347,5,[163][11-36],[163][11-36],[163][11-36],[163][11-36],[163][11-36],[163][11-36],1,2,2
5597,6,348,5,[163][12-36],[163][12-36],[163][12-36],[163][12-36],[163][12-36],[163][12-36],1,2,2
5598,6,349,5,[163][13-36],[163][13-36],[163][13-36],[163][13-36],[163][13-36],[163][13-36],1,2,2
5599,6,350,5,[163][14-36],[163][14-36],[163][14-36],[163][14-36],[163][14-36],[163][14-36],1,2,2
5600,6,351,5,[163][15-36],[163][15-36],[163][15-36],[163][15-36],[163][15-36],[163][15-36],1,2,2
5601,6,352,5,[163][16-36],[163][16-36],[163][16-36],[163][16-36],[163][16-36],[163][16-36],1,2,2
5602,6,353,5,[163][17-36],[163][17-36],[163][17-36],[163][17-36],[163][17-36],[163][17-36],1,2,2
5603,6,354,5,[163][18-36],[163][18-36],[163][18-36],[163][18-36],[163][18-36],[163][18-36],1,2,2
5604,6,355,5,[163][19-36],[163][19-36],[163][19-36],[163][19-36],[163][19-36],[163][19-36],1,2,2
5605,6,356,5,[163][20-36],[163][20-36],[163][20-36],[163][20-36],[163][20-36],[163][20-36],1,2,2
5606,6,357,5,[163][21-36],[163][21-36],[163][21-36],[163][21-36],[163][21-36],[163][21-36],1,2,2
5607,6,358,5,[163][22-36],[163][22-36],[163][22-36],[163][22-36],[163][22-36],[163][22-36],1,2,2
5608,6,359,5,[163][23-36],[163][23-36],[163][23-36],[163][23-36],[163][23-36],[163][23-36],1,2,2
5609,6,360,5,[163][24-36],[163][24-36],[163][24-36],[163][24-36],[163][24-36],[163][24-36],1,2,2
5610,6,361,5,[163][25-36],[163][25-36],[163][25-36],[163][25-36],[163][25-36],[163][25-36],1,2,2
5611,6,362,5,[163][26-36],[163][26-36],[163][26-36],[163][26-36],[163][26-36],[163][26-36],1,2,2
5612,6,363,5,[163][27-36],[163][27-36],[163][27-36],[163][27-36],[163][27-36],[163][27-36],1,2,2
5613,6,364,5,[163][28-36],[163][28-36],[163][28-36],[163][28-36],[163][28-36],[163][28-36],1,2,2
5614,6,365,5,[163][29-36],[163][29-36],[163][29-36],[163][29-36],[163][29-36],[163][29-36],1,2,2
5615,6,366,5,[163][30-36],[163][30-36],[163][30-36],[163][30-36],[163][30-36],[163][30-36],1,2,2
5616,6,367,5,[163][31-36],[163][31-36],[163][31-36],[163][31-36],[163][31-36],[163][31-36],1,2,2
5617,6,368,5,[163][32-36],[163][32-36],[163][32-36],[163][32-36],[163][32-36],[163][32-36],1,2,2
5618,6,369,5,[163][33-36],[163][33-36],[163][33-36],[163][33-36],[163][33-36],[163][33-36],1,2,2
5619,6,370,5,[163][34-36],[163][34-36],[163][34-36],[163][34-36],[163][34-36],[163][34-36],1,2,2
5620,6,371,5,[163][35-36],[163][35-36],[163][35-36],[163][35-36],[163][35-36],[163][35-36],1,2,2
5621,6,372,5,[163][36-36],[163][36-36],[163][36-36],[163][36-36],[163][36-36],[163][36-36],1,2,2
